sigla_uf,id_municipio,municipio,tecnologia,capacidade_backhaul
SP,3541109,Presidente Alves,Fibra + SDH-NG,8
SP,3541653,Quadra,Radio + Fibra + SDH-NG,8
SP,3541802,Queiroz,Fibra + SDH-NG,8
SP,3542008,Quintana,Fibra + SDH-NG,8
SP,3542305,Redenção da Serra,Radio + Fibra + SDH-NG,8
SP,3542503,Reginópolis,Fibra + SDH-NG,8
SP,3542701,Restinga,Radio + Fibra + SDH-NG,8
SP,3542800,Ribeira,Radio + Fibra + SDH-NG,8
SP,3543006,Ribeirão Branco,Radio + Fibra + SDH-NG,16
SP,3543204,Ribeirão do Sul,Radio + Fibra + SDH-NG,8
SP,3543238,Ribeirão dos Índios,Radio + Fibra + SDH-NG,8
SP,3543253,Ribeirão Grande,Radio + Fibra + SDH-NG,8
SP,3543501,Riversul,Radio + Fibra + SDH-NG,8
SP,3543600,Rifaina,Fibra + SDH-NG,8
SP,3544202,Riolândia,Radio + Fibra + SDH-NG,8
SP,3544400,Rubiácea,Fibra + SDH-NG,8
SP,3544509,Rubinéia,Fibra + SDH-NG,8
SP,3544608,Sabino,Radio + Fibra + SDH-NG,8
SP,3544707,Sagres,Fibra + SDH-NG,8
SP,3544806,Sales,Radio + Fibra + SDH-NG,8
SP,3545100,Salmourão,Fibra + SDH-NG,8
SP,3545407,Salto Grande,Fibra + SDH-NG,8
SP,3545506,Sandovalina,Radio + Fibra + SDH-NG,8
SP,3545704,Santa Albertina,Radio + Fibra + SDH-NG,8
SP,3546108,Santa Clara d'Oeste,Fibra + SDH-NG,8
SP,3546207,Santa Cruz da Conceição,Fibra + SDH-NG,8
SP,3546504,Santa Ernestina,Fibra + SDH-NG,8
SP,3546900,Santa Lúcia,Fibra + SDH-NG,8
SP,3547007,Santa Maria da Serra,Fibra + SDH-NG,8
SP,3547106,Santa Mercedes,Fibra + SDH-NG,8
SP,3547205,Santana da Ponte Pensa,Fibra + SDH-NG,8
SP,3547403,Santa Rita d'Oeste,Fibra + SDH-NG,8
SP,3547650,Santa Salete,Fibra + SDH-NG,8
SP,3548054,Santo Antônio do Aracanguá,Radio + Fibra + SDH-NG,8
SP,3548302,Santo Expedito,Fibra + SDH-NG,8
SP,3548401,Santópolis do Aguapeí,Fibra + SDH-NG,8
SP,3549003,São Francisco,Fibra + SDH-NG,8
SP,3549201,São João das Duas Pontes,Fibra + SDH-NG,8
SP,3549250,São João de Iracema,Radio + Fibra + SDH-NG,8
SP,3549300,São João do Pau d'Alho,Fibra + SDH-NG,8
SP,3549508,São José da Bela Vista,Radio + Fibra + SDH-NG,8
SP,3549607,São José do Barreiro,Radio + Fibra + SDH-NG,8
